386 1199
130 121 12.11093311
121 130 12.66616391
130 131 14.89135357
131 130 11.78636611
131 120 13.94351476
120 131 10.8525235
130 133 14.44348529
133 130 10.9176224
133 132 13.4223108
132 133 14.52457464
132 129 13.0143042
129 132 10.03680325
131 134 11.64253922
133 140 11.44332922
140 134 12.72180893
134 131 10.74651198
134 135 10.66430223
135 134 10.19899944
134 140 10.47177884
140 133 11.25410218
141 132 14.06211076
132 141 12.71649503
140 141 14.47259381
141 140 12.61359492
135 136 14.74107324
136 135 10.98042777
136 137 10.25595827
137 136 13.06681778
137 138 11.38407043
138 137 11.71268262
138 139 13.14458847
139 138 12.58102157
139 108 12.62114873
108 139 10.6291913
141 136 11.58318679
100 148 12.45185635
100 143 13.19351688
143 142 11.05606382
143 144 12.51950271
143 100 13.99222854
148 146 11.14295815
148 149 11.62994269
149 148 11.73522358
146 148 13.9638735
146 145 13.0536806
146 147 12.53329864
147 146 14.90952839
147 156 10.3162819
156 147 10.56128147
156 145 14.92700227
145 156 12.86413327
145 146 11.37483036
145 144 10.98574146
144 145 11.09753437
144 143 14.05979366
144 165 13.14756885
165 144 11.43450159
142 143 10.73188618
142 105 13.76507876
105 142 13.53137058
165 158 14.2888331
158 157 14.58457543
157 156 13.7785259
156 157 10.03297392
157 158 13.95888639
158 165 14.59552192
158 159 10.4572274
159 158 12.83947278
159 163 11.83115434
159 160 11.4103971
160 159 11.62730515
163 159 10.66789433
163 162 11.65078268
162 163 14.71227273
162 161 12.91953404
161 162 12.5036669
161 160 10.42028236
160 161 10.34483072
162 164 13.56469405
164 162 13.5995948
147 150 10.43873364
150 147 14.16588788
150 155 13.58143106
155 150 13.59477026
150 151 12.71929969
151 152 14.01718143
152 153 13.19886666
153 152 13.98764128
152 151 10.33797368
151 154 12.4665428
154 151 10.12220788
151 150 10.69956423
189 188 12.70608938
188 189 12.60735482
188 187 12.84979059
187 188 11.45112026
187 186 14.32100337
186 187 10.5017815
187 184 10.52985075
184 187 10.04375842
184 185 14.63790683
185 184 11.63410189
184 183 10.78320934
183 184 12.29867986
183 168 10.97912262
168 183 13.45199067
168 167 12.07962565
167 168 12.79461264
167 166 11.81339025
166 167 10.33761447
166 74 14.97152796
74 166 14.60335674
74 170 13.00110538
170 74 14.48968283
170 169 12.98255776
169 170 10.10148063
169 168 14.52519229
168 169 13.20624811
169 172 14.404644
172 171 12.22864287
172 169 14.42563481
171 170 12.60038833
170 171 10.83447424
171 172 11.19453146
171 75 12.08222701
75 171 10.84928628
171 173 11.26100343
173 171 11.12006273
173 174 12.80563891
174 173 13.23156779
174 172 13.99112164
172 174 11.32916949
174 175 13.95397725
173 175 14.45488777
175 174 14.5397645
175 173 14.06914949
175 176 14.58152478
176 175 13.17998828
190 183 10.20968186
183 190 11.03271175
190 191 14.465374
191 190 10.50160205
191 192 14.6313993
191 195 14.4446849
195 191 12.88866322
195 194 11.92864927
195 197 13.10895184
192 168 14.95411726
168 192 10.36366136
192 193 10.01859603
193 192 11.73551678
193 194 14.18268273
194 193 13.38914365
193 172 13.29861395
172 193 10.92844465
194 196 14.58054092
196 194 12.3593395
196 198 12.89254476
198 196 10.06491999
196 197 13.65089985
197 196 10.02055919
197 195 11.22920325
197 199 14.11746727
199 197 13.42089815
199 198 10.24086658
198 199 14.13192543
198 200 10.094162
200 198 12.63009246
198 174 10.63285217
174 198 12.72323868
199 202 13.36073482
202 199 10.42608056
202 203 10.5739164
203 202 12.83199244
202 200 14.15189669
200 202 12.29222448
200 201 14.84036867
201 200 13.38205454
201 203 12.40517522
203 201 14.6533016
201 205 13.98944356
205 201 11.23618639
205 204 12.5234038
203 204 14.16062835
204 203 13.29218396
204 205 14.04408314
205 206 14.37440684
206 205 11.22856704
206 208 13.54194605
208 206 14.93931959
208 209 14.36736157
209 208 12.26521903
209 204 10.83565816
204 209 11.29799978
206 207 13.25304294
207 206 12.11368434
176 207 13.70678036
207 176 12.40586609
207 177 13.15411565
177 207 14.05422199
177 80 12.40592876
80 177 12.51633187
177 178 11.5511701
178 177 10.97220775
178 86 10.11100987
86 178 12.30812519
178 87 12.37243275
87 178 11.5814173
178 179 12.80272129
179 178 14.27940505
179 180 10.87714163
180 90 10.42579526
90 180 12.04892056
180 179 14.48735269
180 91 12.22709654
91 180 10.37399443
180 181 12.27555708
181 180 13.60485144
204 210 11.77384504
210 204 12.28715619
210 211 10.49980023
211 210 12.18849878
211 209 11.51157863
209 211 11.01395257
211 212 13.47428366
212 211 12.55294368
212 208 11.59637152
208 212 11.50185781
212 213 14.36689176
213 212 12.85074223
213 206 11.31498813
206 213 12.87293845
213 214 13.2255275
214 213 12.87052623
214 220 14.07984337
220 214 14.43785498
220 212 12.81839462
212 220 10.53095706
220 221 13.57365802
221 220 12.08470204
221 211 10.00455336
211 221 11.53127739
221 222 10.29346201
222 221 10.61217978
210 222 10.36463661
222 210 14.47688962
222 223 10.86257866
223 222 14.38148526
223 224 14.96300908
224 223 11.3198228
224 219 11.26879363
219 224 11.87718084
219 214 11.01075047
214 219 13.70160631
219 218 11.80796039
218 219 14.62425776
218 215 13.64694813
215 218 11.65446562
215 214 12.36637569
214 215 14.53548751
215 207 14.0122691
207 215 14.07933792
215 216 10.97333422
216 215 13.04459419
216 177 13.27428487
177 216 12.3844031
216 217 13.97776233
217 216 11.16790562
217 218 10.0534168
218 217 11.06411019
217 225 13.72944913
225 217 11.6879273
225 226 13.29018394
225 181 13.28413264
181 225 10.92976479
181 227 13.2130422
227 181 11.36528134
226 227 10.16997443
223 239 11.71665094
239 223 11.12994405
181 182 13.07584169
182 181 14.7256713
182 94 11.9773759
94 182 12.80253571
182 92 14.17460108
92 182 14.33852497
182 228 12.72298606
228 182 13.75216197
228 101 14.8692445
227 228 12.76231282
239 238 12.20731258
238 231 10.21754216
231 230 11.68822893
230 229 13.52875808
229 226 14.1760884
229 217 11.89856919
217 229 10.60230714
230 218 14.1353959
218 230 13.32886903
231 219 13.52469504
219 231 12.59537566
238 224 13.33595796
224 238 11.57493391
239 241 14.77840469
241 239 11.88805619
105 232 14.0885844
228 232 14.07425265
232 228 12.61860532
232 233 12.78731011
233 234 10.02592176
234 235 12.3684197
235 236 11.1724437
236 237 11.2868323
237 240 11.2663102
240 241 13.5977762
240 238 12.42946699
238 240 14.62142967
237 231 11.76040238
231 237 11.6127048
236 230 11.99550528
230 236 10.42118464
235 229 11.22767118
229 235 12.10421181
234 226 10.11564383
226 234 11.81934121
227 233 10.47974707
233 227 13.25206521
232 242 14.62835425
242 232 13.39744273
242 142 14.04367393
142 242 10.36295561
242 243 11.17910855
243 242 12.34751373
243 165 10.40100809
165 243 14.27855045
243 244 11.54568469
244 243 12.60869906
244 233 12.28247282
233 244 13.22875067
244 245 10.37394159
245 244 10.72940758
244 247 11.60182517
247 244 10.3647223
245 234 11.65852561
234 245 11.26330503
245 246 11.29627325
246 245 13.74450117
245 248 11.52260264
248 245 10.47094485
248 247 11.35652579
247 248 14.62555723
248 250 14.4367083
250 248 11.75258568
250 246 14.06735695
246 250 12.02986482
251 246 10.00213594
251 254 14.46867608
254 251 10.54872563
246 251 13.97013919
246 235 12.3309058
235 246 12.88886237
236 252 11.45751066
252 236 14.77186426
252 253 13.93040612
253 252 13.47546833
253 237 10.46353875
237 253 14.64958865
253 255 10.29849164
255 253 11.52163271
255 240 11.50876568
240 255 13.94855047
255 256 10.61595117
256 255 13.59409579
256 251 14.61282611
251 256 10.88585823
251 252 13.85925008
252 251 10.55750967
254 257 13.18797734
257 254 10.19351204
257 250 13.73817776
250 257 13.092302
257 258 10.40142581
258 257 11.39827036
258 249 13.61091772
249 258 11.74537798
249 247 12.54995404
247 249 12.09375331
249 259 13.3065804
259 249 14.38959512
259 266 10.79137487
266 258 14.53087071
258 266 13.30138577
266 265 13.52056531
265 266 13.11165363
265 260 13.59747718
260 259 13.03768482
259 260 12.65705864
260 261 10.94979686
261 260 10.58659954
261 264 11.38827635
264 265 10.02673888
265 264 11.64491248
266 259 10.98161359
260 265 10.36844706
264 261 10.82313629
261 262 14.46340923
262 261 13.63361574
262 263 12.12782782
263 262 14.28693738
263 264 10.3401152
264 263 11.2796838
241 293 11.73696631
293 300 12.05639602
300 301 13.0770535
301 302 10.65137542
302 303 10.94527151
303 304 14.98534552
304 305 11.45805371
305 306 10.32363833
306 307 12.57497671
307 308 13.42832907
308 309 11.39026464
309 294 14.15651672
294 239 11.80197547
296 223 11.61181863
223 296 11.4719486
296 295 14.87178195
295 296 14.24266449
295 297 11.56368368
295 294 13.53619147
294 295 14.43051328
297 295 12.28916788
297 309 11.25172538
309 297 14.79227816
297 298 10.60545371
298 297 13.33974109
298 308 11.25651952
308 298 14.54979358
298 299 12.54493924
299 298 10.32627817
300 309 10.35684286
309 300 11.94900823
293 294 13.82584713
294 293 10.33418632
293 291 14.21752535
291 293 11.62841033
291 289 12.11060132
289 291 11.33368345
291 292 11.01438224
292 291 14.65262377
292 241 12.60237067
292 290 10.9870601
292 255 12.82301965
255 292 14.17573006
241 292 12.9392074
290 292 11.64770128
290 289 11.6072993
290 256 10.7154127
256 290 12.92543361
289 290 10.36934422
290 285 12.86385149
285 290 10.99899688
285 286 11.60232551
286 285 10.61430563
286 289 13.64554992
289 286 12.91397198
301 308 10.0940769
308 301 11.57735778
302 307 13.99463042
307 302 13.767087
303 306 12.62353965
306 303 11.91239598
286 287 11.34476823
287 286 10.51016141
287 284 13.70144415
284 287 11.52318222
284 285 14.59109193
285 284 11.66437221
284 283 12.85857763
283 282 13.7796186
282 287 12.8907957
287 282 11.89835193
282 283 10.34955446
283 284 10.44688332
283 269 13.82866219
269 267 12.44074315
267 256 10.75774326
256 267 12.30285879
267 285 14.30686063
285 267 10.35455907
267 268 14.86840369
268 267 13.13530751
268 254 14.38352063
254 268 10.66906215
268 269 13.63507784
269 268 14.9173043
269 270 11.62121679
270 269 12.15767979
270 281 12.75604006
281 270 12.99375364
281 282 13.28531399
282 281 11.19893096
281 288 14.39417447
288 281 10.14306465
281 280 10.9973752
280 281 10.30110907
280 271 10.11811152
271 270 10.56181596
270 271 11.40010416
280 279 10.65585799
279 280 10.48128927
279 272 13.10176985
272 271 13.3304591
271 272 13.11479569
271 280 11.44259137
272 279 14.04350185
272 266 14.51938389
266 272 12.93104164
271 258 13.09038868
258 271 13.74725627
270 257 12.69497806
257 270 13.78683102
279 278 11.60662818
278 279 13.17512719
278 273 10.97054991
273 272 14.29508926
272 273 14.46164742
278 277 13.48197767
277 278 13.95666582
276 277 10.44160486
277 276 14.40538393
276 275 12.19011955
275 276 10.17778512
275 263 14.36746813
263 275 10.98511817
275 274 11.10400969
274 275 11.84441832
274 273 10.54127326
273 274 12.76218071
274 277 13.91575105
277 274 10.11407946
274 264 11.10419543
264 274 13.6258582
273 265 11.11018233
265 273 14.54901478
300 316 11.67376721
316 300 14.37227982
316 291 12.14612445
291 316 11.83477065
316 315 13.88554943
315 316 11.30372677
315 314 14.82750178
314 315 13.27098872
315 313 14.78640876
313 315 13.59479914
316 317 14.71133566
317 316 10.32460509
317 301 14.51904939
301 317 13.57039426
317 318 13.76229828
318 317 12.02389756
317 361 13.59093458
361 317 10.93067133
361 314 11.480368
314 361 13.1754607
361 319 12.23503746
319 361 13.72927506
319 318 11.94177359
318 319 10.3409154
318 302 14.43247116
302 318 11.94714798
318 340 14.95782815
340 318 13.42914333
340 303 11.36238012
303 340 14.49659359
306 322 11.76194807
322 306 12.56062417
307 357 14.48309795
357 307 13.02720578
357 322 12.83254311
322 357 10.86179116
357 299 13.31773891
299 357 12.31221741
299 323 10.86625953
323 299 12.58166412
323 322 14.88250209
322 323 14.46801664
322 325 10.28985321
325 322 14.25826189
325 324 11.29580612
324 323 14.68228767
323 324 12.77332386
324 325 10.67481676
325 358 10.55895455
358 325 10.66967034
358 333 14.48173452
333 358 14.54443192
358 305 12.0308731
305 358 14.43545336
305 304 10.10438859
304 303 14.46193874
324 330 14.61373547
330 324 12.97154609
330 329 10.61199876
329 330 10.13016628
329 328 12.24213239
328 329 10.04070714
329 326 13.92898054
326 329 11.62922725
326 327 13.42660307
327 326 12.15449963
326 325 13.47548089
325 326 11.62460167
327 333 12.14055154
333 327 13.83145695
327 328 13.16746336
328 327 13.94375775
328 331 14.97977339
331 328 11.57151444
331 332 12.79268656
332 331 11.47566369
331 337 12.3730853
337 331 11.53680205
333 334 14.96439488
334 333 10.10374129
334 335 14.81916397
335 334 10.82366426
335 336 14.91871129
336 335 11.73360711
336 339 12.76404181
339 336 14.63707853
332 334 13.47183192
334 332 13.99964787
332 337 13.11020981
337 332 10.91969312
332 338 11.59596734
338 332 12.09356382
338 356 11.74751778
356 338 12.2951726
356 339 13.02705445
339 356 10.35891643
339 355 10.8515933
355 339 10.65648248
344 341 14.5176219
341 344 14.4741677
335 340 13.91658385
340 335 12.32724801
344 343 11.74199717
343 344 11.1269238
343 354 13.76498369
354 343 13.67630439
339 359 13.92293656
359 354 13.99016726
354 359 10.48191268
359 344 10.81683974
344 359 12.63832591
354 355 12.55333347
355 354 14.71758056
356 355 13.54103681
355 356 11.6434025
354 353 11.79153408
353 354 14.50668752
353 352 12.27164672
352 353 14.81248614
352 343 13.32043582
343 352 11.82617369
352 348 12.81047763
348 345 10.01016058
348 347 11.83932369
348 352 13.32686337
343 342 12.28506796
342 360 11.6367749
360 342 11.15695291
360 341 12.21746612
341 360 10.11065199
360 319 11.39512565
319 360 14.36214206
342 343 11.60047916
345 348 13.75840039
347 348 13.60533052
347 350 10.72297275
350 347 10.03201259
350 349 12.65509288
349 350 11.8711833
349 346 10.46828187
346 345 14.96627977
346 347 13.25064118
347 346 14.50208659
345 346 14.39057607
346 349 14.25406836
349 351 10.10157204
351 349 11.00948497
345 320 11.52075797
320 345 13.12447943
320 361 10.93318871
361 320 12.31877226
320 321 13.88620878
321 320 13.16534284
321 313 12.11109006
313 321 12.87974342
313 314 10.91476652
314 313 12.06118688
313 312 14.07062895
312 313 10.18290253
321 311 13.6175257
311 321 10.63424724
311 310 10.40887181
310 311 11.52692246
311 312 11.74232631
312 311 13.31769465
312 310 14.63494716
310 312 10.35818448
310 287 10.40671226
287 310 10.37042548
344 362 13.8645097
362 363 12.85509882
363 364 14.49108926
364 363 14.73047916
364 362 13.51366302
363 362 11.49077364
362 364 11.10523628
362 344 11.01087236
364 365 13.29359574
365 364 12.91633858
365 340 11.02330695
340 365 12.94741556
365 341 13.46674708
341 365 12.45519345
336 338 10.73416515
338 336 12.08994249
355 368 13.52476003
368 355 10.34085618
368 366 12.93076888
366 368 14.06632749
366 353 11.33310019
353 366 10.79463579
366 367 13.8922158
368 367 14.84525198
367 368 10.91365421
367 366 14.01710245
367 369 14.83822636
369 367 12.19777722
369 382 14.84604404
382 369 10.08619059
382 338 13.05980856
338 382 11.60274501
382 374 10.23366406
374 382 13.50091529
374 381 10.59215283
381 374 11.10759102
374 373 12.02128249
373 374 10.63852715
376 375 12.71995794
375 376 10.44568994
375 377 10.33886226
377 337 12.69006018
337 377 13.11947396
377 375 14.30080249
377 378 11.33433948
378 377 14.95287918
375 373 11.45196067
373 375 12.55088463
373 372 14.39048838
372 373 10.39151554
372 371 10.02780072
371 372 13.79465699
371 380 10.30358845
380 371 13.36126429
380 381 11.36768748
381 380 14.91025848
380 370 13.65643596
370 380 13.02991767
370 371 13.19822821
371 370 10.28172124
370 379 10.3591343
379 370 12.10846524
379 330 14.85853148
330 379 13.08591734
383 384 13.98315563
384 383 11.85392558
385 379 12.70418017
379 385 14.21510802
